@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
189,60,90,4,134,0.028986,0.4,0.9375,0.4,0.0625,0.560748,0.222222,1.8,0.867295
190,59,91,4,134,0.028986,0.393333,0.936508,0.393333,0.063492,0.553991,0.21875,1.798095,0.867306
191,56,94,4,134,0.028986,0.373333,0.933333,0.373333,0.066667,0.533333,0.208333,1.792,0.867308
192,55,95,4,134,0.028986,0.366667,0.932203,0.366667,0.067797,0.526316,0.204861,1.789831,0.867308
193,53,97,4,134,0.028986,0.353333,0.929825,0.353333,0.070175,0.512077,0.197917,1.785263,0.867315
194,52,98,4,134,0.028986,0.346667,0.928571,0.346667,0.071429,0.504854,0.194444,1.782857,0.867316
195,51,99,4,134,0.028986,0.34,0.927273,0.34,0.072727,0.497561,0.190972,1.780364,0.867319
196,49,101,4,134,0.028986,0.326667,0.924528,0.326667,0.075472,0.482759,0.184028,1.775094,0.867321
197,49,101,3,135,0.021739,0.326667,0.942308,0.326667,0.057692,0.485149,0.180556,1.809231,0.867322
198,48,102,3,135,0.021739,0.32,0.941176,0.32,0.058824,0.477612,0.177083,1.807059,0.867323
199,45,105,3,135,0.021739,0.3,0.9375,0.3,0.0625,0.454545,0.166667,1.8,0.867324
200,43,107,3,135,0.021739,0.286667,0.934783,0.286667,0.065217,0.438776,0.159722,1.794783,0.867325
201,42,108,3,135,0.021739,0.28,0.933333,0.28,0.066667,0.430769,0.15625,1.792,0.867325
202,41,109,3,135,0.021739,0.273333,0.931818,0.273333,0.068182,0.42268,0.152778,1.789091,0.867326
203,40,110,3,135,0.021739,0.266667,0.930233,0.266667,0.069767,0.414508,0.149306,1.786047,0.867326
204,39,111,3,135,0.021739,0.26,0.928571,0.26,0.071429,0.40625,0.145833,1.782857,0.867326
205,38,112,3,135,0.021739,0.253333,0.926829,0.253333,0.073171,0.397906,0.142361,1.779512,0.867326
206,37,113,3,135,0.021739,0.246667,0.925,0.246667,0.075,0.389474,0.138889,1.776,0.867326
207,36,114,3,135,0.021739,0.24,0.923077,0.24,0.076923,0.380952,0.135417,1.772308,0.867326
208,35,115,3,135,0.021739,0.233333,0.921053,0.233333,0.078947,0.37234,0.131944,1.768421,0.867326
209,34,116,3,135,0.021739,0.226667,0.918919,0.226667,0.081081,0.363636,0.128472,1.764324,0.867327
210,33,117,3,135,0.021739,0.22,0.916667,0.22,0.083333,0.354839,0.125,1.76,0.867327
211,33,117,2,136,0.014493,0.22,0.942857,0.22,0.057143,0.356757,0.121528,1.810286,0.867327
212,32,118,2,136,0.014493,0.213333,0.941176,0.213333,0.058824,0.347826,0.118056,1.807059,0.867327
213,29,121,2,136,0.014493,0.193333,0.935484,0.193333,0.064516,0.320442,0.107639,1.796129,0.867327
214,28,122,2,136,0.014493,0.186667,0.933333,0.186667,0.066667,0.311111,0.104167,1.792,0.867327
215,27,123,2,136,0.014493,0.18,0.931034,0.18,0.068966,0.301676,0.100694,1.787586,0.867327
216,26,124,2,136,0.014493,0.173333,0.928571,0.173333,0.071429,0.292135,0.097222,1.782857,0.867327
217,24,126,2,136,0.014493,0.16,0.923077,0.16,0.076923,0.272727,0.090278,1.772308,0.867327
