SA_temp_1E6
8568	16.074	16.963	15.096	12.788	13.215
9863	18.828	17.234	17.021	14.604	15.161
11352	21.266	20.950	20.134	19.274	17.675
13064	24.876	24.110	24.100	23.129	20.235
15033	30.238	27.989	26.845	25.301	23.475
17297	34.913	31.141	29.862	27.968	27.638
19901	38.305	36.714	31.510	31.473	33.872
SA_rate_95
1	0.002	0.002	0.002	0.001	0.001
11	0.020	0.019	0.018	0.017	0.016
22	0.038	0.037	0.032	0.034	0.034
35	0.060	0.055	0.064	0.056	0.053
50	0.087	0.074	0.086	0.083	0.077
67	0.117	0.105	0.105	0.099	0.102
87	0.153	0.132	0.146	0.131	0.131
110	0.197	0.164	0.173	0.162	0.172
136	0.242	0.207	0.209	0.202	0.217
166	0.289	0.253	0.220	0.252	0.251
200	0.358	0.304	0.274	0.292	0.310
239	0.417	0.436	0.325	0.358	0.372
284	0.505	0.426	0.398	0.422	0.438
336	0.650	0.503	0.540	0.487	0.515
396	0.747	0.604	0.605	0.605	0.601
465	0.894	0.704	0.750	0.698	0.683
544	0.957	0.867	0.909	0.811	0.794
635	1.120	1.024	1.295	0.934	0.904
740	1.400	1.116	1.169	1.087	1.069
860	1.569	1.308	1.509	1.271	1.273
998	1.710	1.523	2.350	1.478	1.486
1157	1.940	1.882	2.154	1.711	1.791
1340	2.238	2.072	2.214	2.046	2.050
1550	2.605	2.509	2.485	2.228	2.358
1792	3.079	3.079	2.818	2.705	2.653
2070	3.456	3.195	2.808	3.095	3.104
2390	3.945	3.732	3.253	3.618	3.621
2758	4.538	4.417	3.759	4.156	4.047
3181	5.367	4.761	4.525	4.730	4.817
3668	6.099	5.555	6.007	5.542	5.499
4228	7.063	6.392	6.161	6.335	6.885
4872	8.125	7.626	6.953	7.775	7.710
5612	9.453	8.987	8.617	8.809	8.282
6463	12.835	10.232	10.041	10.446	9.367
7442	13.399	12.514	10.832	11.651	11.206
8568	15.056	13.667	12.523	13.571	12.902
9863	18.539	14.276	14.668	15.912	14.944
11352	16.747	15.688	16.616	18.812	17.709
13064	20.905	17.803	19.041	21.855	22.283
15033	23.819	20.947	25.243	25.247	25.634
17297	26.453	25.303	27.141	25.429	30.332
19901	30.517	30.392	31.780	29.755	33.279
